	New York	New Jersey	New York City
9/1/1982	86.71416176	82.04786714	92.15012011
10/1/1982	86.47149241	82.01798351	92.13963631
11/1/1982	86.31083343	82.06938668	92.1571916
12/1/1982	86.24032922	82.23594267	92.21106467
1/1/1983	86.29778021	82.4713454	92.3081643
2/1/1983	86.41415909	82.74852348	92.45359768
3/1/1983	86.61408991	83.10133734	92.65398276
4/1/1983	86.92428661	83.49934179	92.91012178
5/1/1983	87.31638038	83.90743248	93.2169729
6/1/1983	87.81560064	84.4336387	93.56911245
7/1/1983	88.39019083	84.97174454	93.95988376
8/1/1983	89.02451104	85.54917518	94.38141089
9/1/1983	89.74851168	86.16082665	94.8251944
10/1/1983	90.5174712	86.73359112	95.27820018
11/1/1983	91.28524823	87.26938256	95.7250127
12/1/1983	92.04549269	87.84103172	96.15525294
1/1/1984	92.72292508	88.43853714	96.56291306
2/1/1984	93.42360206	89.01735525	96.94482647
3/1/1984	94.03314834	89.53904231	97.29966399
4/1/1984	94.60527544	90.087461	97.63058731
5/1/1984	95.13318659	90.61502699	97.94251661
6/1/1984	95.56713481	91.01843214	98.24158569
7/1/1984	96.00389039	91.31721758	98.53578555
8/1/1984	96.49915711	91.61224239	98.83262977
9/1/1984	97.03942805	91.96142064	99.13538721
10/1/1984	97.60733273	92.34317599	99.44346175
11/1/1984	98.14182821	92.66612356	99.75712368
12/1/1984	98.62855281	92.96993109	100.0749971
1/1/1985	99.08103266	93.21412992	100.3963022
2/1/1985	99.48710201	93.4237848	100.7218341
3/1/1985	99.8680953	93.63984774	101.0524531
4/1/1985	100.1960432	93.89999186	101.3919117
5/1/1985	100.5515583	94.15343232	101.7429464
6/1/1985	100.953449	94.43257294	102.1024599
7/1/1985	101.4075102	94.76224782	102.4658917
8/1/1985	101.8426164	95.0561634	102.8276809
9/1/1985	102.2492989	95.27892802	103.1841954
10/1/1985	102.6654437	95.49982688	103.534889
11/1/1985	103.0550903	95.74128478	103.8778267
12/1/1985	103.4475989	96.00231336	104.2090853
1/1/1986	103.7950261	96.25300924	104.5290283
2/1/1986	104.085146	96.54546949	104.8408842
3/1/1986	104.3811188	96.87409641	105.1538119
4/1/1986	104.7428525	97.19181987	105.4737077
5/1/1986	105.1731981	97.52078882	105.8045752
6/1/1986	105.6662134	97.86819081	106.1491239
7/1/1986	106.1949739	98.265804	106.5076451
8/1/1986	106.7082208	98.66047826	106.8762608
9/1/1986	107.2542656	99.07876477	107.2539896
10/1/1986	107.7780298	99.50202735	107.6401002
11/1/1986	108.2703299	99.91722759	108.0365969
12/1/1986	108.720436	100.2673633	108.4451276
1/1/1987	109.1767358	100.6013061	108.8626138
2/1/1987	109.6225839	100.891176	109.2818666
3/1/1987	110.1723971	101.2027822	109.6953613
